metric,epoch,value
F1,8,0.7216943810090771
CSI,8,0.5655162552871281
Loss,9,0.1434379965066909
Precision,2,0.7529430190864602
Recall,17,0.7699906860611643
Accuracy,6,0.9353769473684213
